Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
BMW,'M240i Cabriolet',SUBCOMPACT,3.0,6.0,AS8,Z,11.2,7.8,9.7,29.0,227
NISSAN,GT-R,SUBCOMPACT,3.8,6.0,AM6,Z,14.3,10.5,12.6,22.0,294
BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.4,7.9,9.8,29.0,231
PORSCHE,'911 CARRERA 4 GTS CABRIOLET',MINICOMPACT,3.0,6.0,M7,Z,12.9,9.1,11.1,25.0,260
AUDI,Q7,'SUV - STANDARD',2.0,4.0,AS8,Z,12.2,9.5,11.0,26.0,258
CHEVROLET,MALIBU,MID-SIZE,2.0,4.0,AS8,Z,10.6,7.1,9.0,31.0,211
GMC,SIERRA,'PICKUP TRUCK - STANDARD',5.3,8.0,A6,X,14.6,10.3,12.7,22.0,292
BMW,'M240i COUPE',SUBCOMPACT,,6.0,AS8,Z,11.1,7.8,9.6,29.0,224
FORD,'Transit Connect Wagon LWB FFV','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS8,E,13.7,11.1,12.5,23.0,208
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS6,X,16.8,12.4,14.8,,347
CHRYSLER,'300 AWD',FULL-SIZE,,6.0,A8,X,12.8,8.7,11.0,26.0,258
JAGUAR,'XJR LWB',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313
CHEVROLET,'SILVERADO 4WD FFV',,4.3,6.0,A6,E,20.2,15.2,18.0,16.0,294
CADILLAC,'XT5 AWD','SUV - SMALL',3.6,6.0,AS8,X,12.8,9.3,11.2,25.0,263
FIAT,500L,'STATION WAGON - SMALL',1.4,4.0,A6,X,10.7,7.9,9.4,30.0,221
KIA,'SORENTO AWD','SUV - SMALL',2.0,4.0,AS6,X,,9.4,11.0,26.0,259
'ASTON MARTIN','VANTAGE GT',TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19.0,338
HONDA,'Pilot AWD','SUV - SMALL',3.5,6.0,AS9,X,12.4,9.3,11.0,26.0,257
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
FORD,'EDGE AWD','SUV - SMALL',2.7,6.0,AS6,X,13.8,9.8,12.0,24.0,281
MERCEDES-BENZ,'GLC 300 4MATIC COUPE',,2.0,4.0,A9,Z,11.0,8.7,10.0,28.0,235
LAMBORGHINI,'Aventador Coupe',TWO-SEATER,6.5,12.0,AM7,Z,26.2,15.5,21.4,13.0,485
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,,219
FORD,'TRANSIT CONNECT TAXI','SPECIAL PURPOSE VEHICLE',1.6,4.0,AS6,X,11.5,8.3,10.1,28.0,232
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.0,6.0,M7,Z,12.0,8.2,10.3,27.0,241
NISSAN,MAXIMA,MID-SIZE,3.5,6.0,AV,Z,12.3,9.1,10.9,26.0,251
'ALFA ROMEO','Giulia Quadrifoglio',MID-SIZE,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271
GMC,'TERRAIN FFV',,,4.0,A6,,15.6,10.8,13.4,21.0,221
RAM,'ProMaster City','SPECIAL PURPOSE VEHICLE',2.4,4.0,A9,X,11.2,8.3,9.9,29.0,232
GMC,Canyon,,3.6,6.0,,X,13.4,9.6,11.7,24.0,274
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',6.2,8.0,A8,Z,16.0,11.7,14.1,20.0,330
FORD,'ESCAPE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.4,8.4,10.1,28.0,232
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,3.0,6.0,AS6,X,14.4,9.7,12.3,23.0,288
LEXUS,'CT 200h',COMPACT,1.8,4.0,AV,X,5.5,5.8,5.6,50.0,129
NISSAN,Frontier,'PICKUP TRUCK - SMALL',4.0,6.0,A5,X,14.7,,12.7,22.0,299
CADILLAC,XTS,FULL-SIZE,3.6,6.0,AS6,X,13.2,8.5,11.1,25.0,260
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
CHRYSLER,300,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242
JAGUAR,'F-TYPE Coupe',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
KIA,SOUL,'STATION WAGON - SMALL',1.6,4.0,AS6,X,9.4,7.8,8.7,32.0,205
PORSCHE,'911 Carrera 4 Cabriolet',MINICOMPACT,3.0,6.0,M7,Z,12.2,8.5,10.5,27.0,246
NISSAN,MICRA,COMPACT,1.6,4.0,M5,X,8.6,6.6,,37.0,177
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4.0,M6,Z,8.5,6.9,7.8,36.0,183
AUDI,'RS 5',SUBCOMPACT,4.2,8.0,AM7,Z,14.9,10.1,12.8,22.0,294
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
BMW,M3,COMPACT,3.0,6.0,M6,,13.5,9.3,11.6,24.0,273
NISSAN,'Qashqai AWD','STATION WAGON - SMALL',2.0,,AV8,X,9.0,7.7,8.4,34.0,198
HONDA,'Civic Hatchback Sport',FULL-SIZE,1.5,4.0,M6,Z,8.0,6.2,7.2,39.0,167
BMW,M5,MID-SIZE,4.4,8.0,AS8,Z,16.0,11.2,13.9,20.0,324
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A5,E,18.9,12.7,16.1,18.0,268
BMW,'X1 xDRIVE35i','SUV - SMALL',3.0,6.0,A6,Z,13.2,8.9,11.3,25.0,260
ACURA,'MDX SH-AWD ELITE','SUV - SMALL',3.5,6.0,AS9,Z,12.2,9.0,10.7,,251
MERCEDES-BENZ,'AMG S 65',FULL-SIZE,6.0,12.0,AS7,Z,17.6,10.9,14.6,19.0,349
TOYOTA,C-HR,COMPACT,2.0,4.0,AS7,X,8.7,7.5,8.2,34.0,189
'ASTON MARTIN',VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,14.7,19.0,345
TOYOTA,VENZA,'SUV - SMALL',2.7,4.0,AS6,X,11.4,8.2,10.0,,230
RAM,'1500 4X4 eTorque','PICKUP TRUCK - STANDARD',5.7,8.0,A8,X,14.3,11.1,12.9,22.0,302
HONDA,ACCORD,MID-SIZE,3.5,6.0,AS6,X,11.4,7.3,9.6,29.0,221
MERCEDES-BENZ,'C 300 4MATIC',COMPACT,2.0,4.0,A9,Z,11.0,7.3,9.4,30.0,219
AUDI,S5,SUBCOMPACT,3.0,6.0,A7,Z,13.2,9.2,11.4,25.0,262
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,214
AUDI,'S5 CABRIOLET QUATTRO',SUBCOMPACT,3.0,6.0,AM7,Z,13.3,9.1,11.4,25.0,266
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',5.7,8.0,AS6,X,18.2,14.1,16.3,17.0,380
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',4.0,6.0,A5,X,,10.6,12.9,22.0,304
PORSCHE,'911 CARRERA S',MINICOMPACT,3.0,6.0,AM7,Z,10.8,8.3,9.7,29.0,226
PORSCHE,'BOXSTER GTS',TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30.0,222
HONDA,'CIVIC SEDAN',MID-SIZE,2.0,4.0,AV,X,7.8,6.0,7.0,40.0,163
MAZDA,'Mazda3 5-Door (SIL)',MID-SIZE,2.0,4.0,M6,X,8.7,6.6,7.8,36.0,181
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4.0,A6,X,11.4,8.7,10.2,28.0,235
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6.0,AS7,Z,9.1,7.7,8.5,33.0,200
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
CHRYSLER,,MID-SIZE,3.6,6.0,A6,X,12.5,8.1,10.5,27.0,242
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,12.0,A8,Z,20.7,12.8,17.1,17.0,393
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE I','SUV - SMALL',3.2,6.0,A9,X,11.6,8.6,10.3,27.0,241
ACURA,'TLX SH-AWD A-SPEC',COMPACT,3.5,6.0,AS9,Z,12.0,8.2,10.3,27.0,240
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
MERCEDES-BENZ,'B 250 4MATIC','STATION WAGON - SMALL',2.0,4.0,AM7,Z,10.3,,9.1,31.0,215
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6.0,A8,Z,13.6,10.2,12.1,23.0,281
CADILLAC,ATS,COMPACT,2.5,4.0,AS8,X,10.7,7.4,9.2,31.0,216
AUDI,'A4 allroad quattro','STATION WAGON - SMALL',2.0,4.0,AM7,Z,10.0,7.4,8.8,32.0,206
PORSCHE,'911 Carrera 4S',MINICOMPACT,3.0,6.0,AM7,Z,11.1,8.5,9.9,29.0,232
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426
AUDI,'A5 QUATTRO',SUBCOMPACT,2.0,4.0,AS8,Z,11.0,7.8,9.6,29.0,224
MAZDA,'Mazda3 4-Door',COMPACT,2.5,4.0,AS6,X,8.8,6.4,7.7,37.0,181
DODGE,Challenger,MID-SIZE,5.7,8.0,M6,Z,15.6,10.1,13.1,,307
FORD,'F-150 FFV 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,X,15.7,11.8,13.9,20.0,326
HONDA,HR-V,'SUV - SMALL',1.8,4.0,AV,X,8.3,6.7,7.6,37.0,177
PORSCHE,'CAYENNE TURBO S','SUV - STANDARD',4.8,8.0,A8,Z,18.0,,15.2,19.0,358
VOLKSWAGEN,GOLF,COMPACT,1.8,4.0,AS6,X,9.3,6.5,8.1,35.0,186
SUBARU,'CROSSTREK AWD','SUV - SMALL',2.0,4.0,M6,X,10.5,8.1,9.4,30.0,220
PORSCHE,,MINICOMPACT,3.8,6.0,AM7,Z,11.9,8.7,10.5,27.0,245
PORSCHE,'BOXSTER GTS',TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30.0,222
LEXUS,'ES 300h',MID-SIZE,2.5,4.0,AV6,X,5.8,6.1,5.9,48.0,139
MERCEDES-BENZ,'E 350 4MATIC COUPE',SUBCOMPACT,3.5,6.0,AS7,Z,11.9,8.5,10.4,27.0,239
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,E,20.3,,17.8,16.0,296
BMW,'750Li xDrive Sedan',FULL-SIZE,4.4,8.0,AS8,Z,14.5,9.9,12.4,23.0,290
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,E,21.4,17.2,,14.0,325
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4.0,A6,D,11.8,7.9,10.1,28.0,270
MAZDA,MX-5,TWO-SEATER,2.0,4.0,AS6,Z,9.0,6.6,7.9,36.0,186
BMW,'X4 M40i','SUV - SMALL',3.0,6.0,AS8,Z,11.9,8.7,10.4,27.0,245
SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.1,8.5,33.0,196
LAMBORGHINI,'AVENTADOR ROADSTER',TWO-SEATER,6.5,12.0,AM7,,23.6,14.1,19.3,15.0,452
VOLKSWAGEN,CC,,2.0,4.0,M6,Z,11.4,7.4,9.6,29.0,221
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4.0,A9,X,11.2,8.2,9.8,29.0,230
GENESIS,'G90 AWD',FULL-SIZE,3.3,6.0,AS8,Z,13.6,9.5,11.8,24.0,280
NISSAN,MURANO,'STATION WAGON - MID-SIZE',3.5,6.0,AV7,X,11.0,8.3,9.8,29.0,230
PORSCHE,Macan,'SUV - SMALL',2.0,4.0,AM7,Z,12.2,10.2,11.3,25.0,264
MITSUBISHI,LANCER,COMPACT,2.0,4.0,AV6,X,9.2,7.0,8.2,34.0,189
CHRYSLER,'300 AWD',FULL-SIZE,3.6,6.0,A8,X,12.8,8.7,11.0,26.0,258
MAZDA,'MX-5 (SIL)',TWO-SEATER,2.0,4.0,M6,Z,8.8,6.9,7.8,36.0,183
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4.0,A9,X,10.8,7.8,9.5,30.0,222
BMW,M3,COMPACT,3.0,6.0,M6,Z,13.7,9.0,11.6,24.0,271
BENTLEY,'Continental GT',COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364
JEEP,PATRIOT,'SUV - SMALL',2.0,4.0,M5,X,10.2,7.8,9.2,31.0,212
JEEP,'Cherokee 4X4 Active Drive II','SUV - SMALL',2.0,4.0,A9,X,11.5,8.6,10.2,28.0,240
HYUNDAI,'Elantra GT',FULL-SIZE,2.0,4.0,AS6,X,9.4,7.1,8.4,34.0,200
BENTLEY,'Continental GT',COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364
CHEVROLET,'CRUZE LIMITED ECO',MID-SIZE,1.4,4.0,M6,X,8.4,5.6,7.1,40.0,167
MINI,'JOHN COOPER WORKS',SUBCOMPACT,2.0,4.0,AS6,Z,,7.5,8.5,33.0,199
BUICK,ENCLAVE,'SUV - STANDARD',,6.0,A6,X,14.2,9.9,12.3,23.0,283
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3.0,AS6,Z,8.7,6.8,7.9,36.0,184
MITSUBISHI,'MIRAGE G4',COMPACT,1.2,3.0,M5,X,7.2,5.9,6.6,43.0,155
KIA,'SORENTO AWD','SUV - SMALL',2.0,4.0,AS6,X,12.3,9.4,11.0,26.0,259
BMW,'Z4 sDrive30i',TWO-SEATER,2.0,4.0,AS8,Z,9.5,7.4,8.5,33.0,200
MERCEDES-BENZ,'AMG G 65','SUV - STANDARD',6.0,12.0,AS7,Z,24.3,17.9,21.4,13.0,476
VOLKSWAGEN,JETTA,COMPACT,1.4,4.0,AS6,X,,6.0,7.3,39.0,173
HYUNDAI,Tucson,'SUV - SMALL',2.0,4.0,AS6,X,10.0,7.9,,31.0,216
,ATS-V,COMPACT,3.6,6.0,M6,Z,14.2,10.2,12.4,23.0,289
HYUNDAI,Elantra,MID-SIZE,1.6,4.0,AM7,X,8.9,7.0,8.1,35.0,189
MERCEDES-BENZ,'E 300 4MATIC',MID-SIZE,3.5,6.0,AS7,Z,11.9,8.2,10.2,,235
KIA,'SEDONA SXL',MINIVAN,3.3,6.0,AS6,,14.2,10.5,12.5,23.0,288
TOYOTA,'Corolla Hybrid',COMPACT,1.8,4.0,AV,X,4.4,4.5,4.5,63.0,106
NISSAN,'Frontier 4WD','PICKUP TRUCK - SMALL',4.0,,A5,X,15.8,11.5,13.9,20.0,326
TOYOTA,'Tacoma 4WD','PICKUP TRUCK - SMALL',3.5,6.0,AS6,X,13.0,10.5,11.9,24.0,278
AUDI,'TTS Coupe',SUBCOMPACT,2.0,4.0,AM7,Z,10.4,8.2,9.4,30.0,220
SUBARU,'LEGACY AWD',MID-SIZE,2.5,4.0,AV7,X,9.3,7.0,8.3,34.0,193
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AM6,X,10.8,8.0,9.5,30.0,223
VOLVO,'XC90 T5 AWD','SUV - STANDARD',2.0,4.0,AS8,Z,11.3,8.5,10.0,28.0,233
MASERATI,'GHIBLI S',MID-SIZE,3.0,6.0,AS8,Z,14.5,10.0,12.4,23.0,293
BUICK,'REGAL eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,193
MERCEDES-BENZ,'CL 63 AMG',COMPACT,5.5,8.0,AS7,Z,15.4,11.0,,21.0,308
CHEVROLET,TRAVERSE,'SUV - STANDARD',2.0,4.0,A9,Z,11.7,9.0,10.5,27.0,246
GMC,,'SUV - STANDARD',5.3,8.0,A6,E,21.2,13.9,17.9,16.0,298
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8.0,,Z,18.1,11.4,15.1,19.0,352
GMC,'YUKON DENALI 4WD','SUV - STANDARD',6.2,8.0,A6,Z,16.2,11.4,14.0,20.0,322
VOLVO,'S60 T6 AWD',COMPACT,2.0,4.0,AS8,Z,11.1,7.3,9.4,30.0,218
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2.0,4.0,AV,X,9.7,9.0,9.4,30.0,216
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4.0,A6,E,15.6,10.8,13.4,21.0,221
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4.0,M5,X,11.3,9.5,10.5,27.0,242
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,214
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4.0,A4,X,12.2,9.9,11.2,25.0,258
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,E,20.3,14.7,17.8,16.0,296
JEEP,'Grand Cherokee 4X4','SUV - STANDARD',5.7,8.0,A8,X,16.7,10.9,14.1,20.0,331
VOLVO,'S60 AWD',COMPACT,2.5,5.0,AS6,X,11.6,8.3,10.1,28.0,232
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8.0,AS6,X,19.0,13.9,16.7,17.0,384
LEXUS,'GS 350 AWD',MID-SIZE,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
,'GHIBLI S',MID-SIZE,3.0,6.0,AS8,Z,14.5,,12.4,23.0,293
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS6,X,11.5,8.4,10.1,28.0,232
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4.0,M6,X,11.8,8.7,10.4,27.0,244
BMW,'750Li xDRIVE',FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22.0,292
BMW,'340i xDRIVE',COMPACT,3.0,6.0,M6,Z,12.2,8.5,10.5,27.0,246
NISSAN,MICRA,COMPACT,1.6,4.0,M5,X,8.6,6.6,7.7,37.0,177
CHRYSLER,'300 AWD FFV',FULL-SIZE,3.6,6.0,A8,E,17.6,12.0,15.0,19.0,248
VOLKSWAGEN,'Arteon 4MOTION',FULL-SIZE,2.0,4.0,AS8,Z,12.0,8.6,10.4,27.0,244
JAGUAR,'F-TYPE COUPE',TWO-SEATER,3.0,6.0,AS8,Z,11.9,8.5,10.4,27.0,242
HYUNDAI,'VELOSTER TURBO',COMPACT,1.6,4.0,M6,X,9.7,7.0,8.5,33.0,196
VOLKSWAGEN,'GOLF R',,2.0,4.0,M6,Z,11.1,8.1,9.8,29.0,227
HONDA,'ACCORD COUPE',MID-SIZE,3.5,6.0,M6,X,12.9,8.4,10.9,26.0,254
JEEP,'Grand Cherokee 4X4','SUV - STANDARD',5.7,8.0,A8,X,16.7,10.9,14.1,20.0,331
MERCEDES-BENZ,'CLA 250 4MATIC FFV',COMPACT,2.0,4.0,AS7,E,13.1,9.8,11.6,24.0,198
'ASTON MARTIN','DB11 V12',MINICOMPACT,5.2,12.0,A8,Z,15.5,11.4,13.7,21.0,322
FORD,'EXPEDITION 4X4','SUV - STANDARD',3.5,6.0,AS6,X,15.9,12.0,14.2,20.0,333
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
GMC,'YUKON DENALI 4WD','SUV - STANDARD',6.2,8.0,A8,Z,15.9,11.1,13.8,20.0,317
PORSCHE,'PANAMERA 4S EXECUTIVE',FULL-SIZE,3.0,6.0,AM7,Z,13.7,8.9,11.5,25.0,264
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
CADILLAC,CTS,MID-SIZE,2.0,4.0,AS6,Z,11.5,7.9,9.9,29.0,228
DODGE,'Durango AWD','SUV - STANDARD',3.6,6.0,A8,X,12.7,9.6,11.3,25.0,265
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',6.2,8.0,A8,Z,16.1,11.4,14.0,20.0,322
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,11.4,25.0,266
'ALFA ROMEO','Giulia Quadrifoglio',MID-SIZE,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4.0,AV,X,7.6,5.5,6.7,42.0,157
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6.0,AV6,X,8.0,8.6,8.3,34.0,191
HONDA,HR-V,'SUV - SMALL',1.8,4.0,M6,X,9.3,7.0,8.3,,193
JEEP,'WRANGLER JK UNLIMITED 4X4','SUV - SMALL',3.6,6.0,M6,X,15.0,11.4,13.3,,312
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,M6,X,9.4,6.4,8.1,35.0,186
HONDA,'HR-V AWD','STATION WAGON - SMALL',1.8,4.0,AV,X,8.9,7.5,8.2,34.0,194
CHRYSLER,'TOWN & COUNTRY FFV',MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24.0,276
CADILLAC,'XTS AWD',FULL-SIZE,3.6,6.0,,X,13.9,,11.6,24.0,273
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26.0,251
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,214
MERCEDES-BENZ,'AMG GLE 63 S COUPE 4MATIC','SUV - STANDARD',5.5,8.0,AS7,Z,17.2,12.8,15.2,19.0,363
CHEVROLET,'EXPRESS 1500 PASSENGER AWD','VAN - PASSENGER',5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380
MERCEDES-BENZ,'E 400 4MATIC WAGON','STATION WAGON - MID-SIZE',3.0,6.0,AS7,Z,12.4,8.9,10.8,26.0,253
GMC,'SAVANA 3500 PASSENGER','VAN - PASSENGER',4.8,8.0,A6,X,21.3,14.3,18.2,16.0,419
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',3.6,6.0,A8,X,15.0,13.0,14.1,20.0,331
MINI,'COOPER S PACEMAN ALL4',COMPACT,1.6,4.0,AS6,Z,10.1,7.8,9.0,31.0,207
CHEVROLET,'EXPRESS 3500 PASSENGER','VAN - PASSENGER',6.0,8.0,A6,E,30.2,20.5,25.8,11.0,413
HYUNDAI,'VELOSTER TURBO',COMPACT,1.6,4.0,M6,X,9.7,7.0,8.5,33.0,196
FORD,'F-150 4X4','PICKUP TRUCK - STANDARD',3.0,6.0,AS10,D,11.8,9.3,10.7,26.0,287
GMC,'YUKON 4WD','SUV - STANDARD',6.2,8.0,A10,Z,16.4,10.7,13.8,20.0,325
BMW,'M6 GRAN COUPE',COMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,6.7,,179
LAMBORGHINI,'Huracan Coupe',TWO-SEATER,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370
CHEVROLET,SUBURBAN,'SUV - STANDARD',5.3,8.0,A6,X,14.9,10.1,12.7,22.0,292
CADILLAC,'CTS SEDAN Vsport',MID-SIZE,3.6,6.0,AS8,Z,15.1,9.9,12.8,22.0,294
FORD,'TAURUS AWD',FULL-SIZE,3.5,6.0,AS6,X,14.7,9.8,12.5,23.0,293
KIA,'OPTIMA HYBRID',MID-SIZE,2.0,4.0,AS6,X,,5.1,5.6,50.0,132
FORD,'F-150 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3.0,6.0,AS10,D,11.8,9.3,10.7,26.0,288
MERCEDES-BENZ,'Maybach S 650',FULL-SIZE,6.0,12.0,A7,Z,18.4,11.1,15.1,19.0,355
BMW,'750Li xDRIVE',FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22.0,292
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4.0,AV6,X,7.2,7.9,7.5,38.0,176
JEEP,COMPASS,'SUV - SMALL',2.0,4.0,A6,X,11.1,8.3,9.8,29.0,225
BMW,'320i SEDAN',COMPACT,2.0,4.0,AS8,Z,,6.5,8.4,34.0,193
CADILLAC,'CT4-V AWD',COMPACT,,4.0,AS10,Z,11.7,8.4,10.2,28.0,238
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2.0,4.0,AS7,Z,9.8,7.4,8.7,32.0,200
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3.5,6.0,AS7,Z,11.5,8.1,10.0,28.0,230
PORSCHE,'Panamera GTS ST',FULL-SIZE,4.0,8.0,AM8,Z,15.7,10.5,13.4,21.0,313
MASERATI,GHIBLI,MID-SIZE,3.0,6.0,AS8,Z,14.1,9.8,12.4,23.0,286
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,375
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
SUBARU,'XV CROSSTREK AWD','SUV - SMALL',2.0,4.0,AV6,X,9.1,7.0,8.1,35.0,191
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
RAM,'1500 4X4 eTorque','PICKUP TRUCK - STANDARD',5.7,8.0,A8,X,14.2,10.9,12.8,22.0,299
MERCEDES-BENZ,'SL 550',TWO-SEATER,4.7,8.0,AS7,Z,13.4,9.6,11.7,24.0,269
FORD,'FOCUS FFV',COMPACT,2.0,4.0,M5,X,9.3,6.7,8.1,35.0,186
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4.0,AS6,X,9.3,7.6,8.5,33.0,201
GMC,Acadia,'SUV - STANDARD',2.5,4.0,A6,X,11.1,9.2,10.2,28.0,237
VOLKSWAGEN,TIGUAN,'SUV - SMALL',2.0,4.0,M6,Z,13.0,9.0,11.2,25.0,259
LEXUS,'LS 460',MID-SIZE,4.6,8.0,AS8,Z,14.4,9.6,12.3,23.0,283
CHEVROLET,MALIBU,MID-SIZE,1.5,4.0,A6,X,8.8,6.5,7.8,36.0,182
GMC,TERRAIN,'SUV - SMALL',3.6,6.0,A6,X,14.1,9.7,12.1,23.0,285
AUDI,'A7 QUATTRO',MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,10.0,28.0,235
GENESIS,'G70 AWD',COMPACT,,4.0,AS8,Z,11.4,8.6,10.2,28.0,238
